"ID","azimuth(degrees)","elevation(degrees)","radial diastance(km)"
"a0005066","117.3482515","-0.784154209","387838311.2"
"a0005131","106.879292","4.865338771","229980645.4"
"a0005143","124.3894915","11.2706777","143196639.6"
"a0005175","157.3163474","39.24574527","311358075.1"
"a0005189","107.8987268","-14.20420548","266786923.8"
"a0005230","246.3036379","-16.86519341","101937290.5"
"a0005246","96.54300153","-29.59090783","364835161.2"
"a0005253","27.88349072","74.81808167","157360693.6"
"a0005261","79.38723822","-30.77464459","313455090.4"
"a0005275","83.86076291","-41.01991509","340227333.3"
"a0005324","109.4583631","-28.15228583","309723311.3"
"a0005332","230.9927387","-48.45961425","70962489.13"
"a0005349","4.20767432","-5.749896694","132484374.0"
"a0005370","90.06121981","-35.24535562","288578902.7"
"a0005378","281.7549571","-13.70987906","124807932.5"
"a0005384","5.267772264","74.19241256","182416522.0"
"a0005390","325.4459331","-75.24722563","217054242.0"
"a0005392","104.5758916","77.10490889","186770980.5"
"a0005407","118.6430993","22.54084421","305086172.0"
"a0005426","102.5298618","81.44802223","209599638.7"
"a0005427","96.78069883","-8.928245964","407807964.9"
"a0005475","291.6258504","-73.44128025","188087646.5"
"a0005477","109.3064491","-49.11386101","361574581.2"
"a0005496","91.53334672","12.85490872","238987520.3"
"a0005510","92.34898878","-45.22913006","343956841.1"
"a0005558","283.4078489","-87.48717624","229609572.2"
"a0005577","110.0140769","-37.10816295","385113147.0"
"a0005579","113.4215677","-40.69198937","377609446.0"
"a0005585","74.43301095","-26.86968572","341396125.0"
"a0005587","103.7860638","-2.398951814","306206993.1"
"a0005620","109.2006774","-8.582963832","333522250.8"
"a0005621","110.3181166","-10.06682752","358485238.1"
"a0005626","46.87656841","-66.18246197","161567189.0"
"a0005627","117.9659683","11.63771989","405349264.4"
"a0005639","105.5037542","23.65002602","380588962.6"
"a0005641","117.9303948","39.33900943","305761789.2"
"a0005642","77.60655878","-36.23274345","323026195.7"
"a0005645","61.70555876","-19.64042841","40099537.35"
"a0005646","92.15622285","-43.29897851","273895818.3"
"a0005649","5.835249939","-32.44854877","153910672.8"
"a0005653","198.2414618","75.58362071","95111292.32"
"a0005660","88.48593254","-13.61945969","105763290.2"
"a0005682","80.21782053","-44.4298305","324852355.3"
"a0005693","101.0913511","-31.6918635","186110707.0"
"a0005720","347.8556388","69.65364664","143502167.9"
"a0005731","145.8446578","31.29520379","86049800.25"
"a0005732","203.5355643","25.99377125","117206768.4"
"a0005738","220.3325772","20.98922457","110563573.1"
